dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1356998400,2013-01-01 00:00:00 +0000 UTC,12600,Alvand,36.19,50.06,-5.26,10000,-12.68,-10.75,-7.27,-3.46,1027,,,52,4,180,,,,,,0,800,Clear,sky is clear,01n
1357002000,2013-01-01 01:00:00 +0000 UTC,12600,Alvand,36.19,50.06,-4.99,10000,-12.22,-9.6,-6.52,-3.63,1027,,,53,3.1,180,,,,,,0,800,Clear,sky is clear,01n
1357005600,2013-01-01 02:00:00 +0000 UTC,12600,Alvand,36.19,50.06,-4.63,10000,-11.87,-4.63,-4.77,-4.42,1027,,,53,1.03,0,,,,,,0,800,Clear,sky is clear,01n
1357009200,2013-01-01 03:00:00 +0000 UTC,12600,Alvand,36.19,50.06,-4.54,10000,-9.33,-7.83,-5.13,-3.99,1028,,,66,2.06,30,,,,,,0,800,Clear,sky is clear,01n
1357012800,2013-01-01 04:00:00 +0000 UTC,12600,Alvand,36.19,50.06,-3.91,7000,-8.55,-7.15,-4.77,-3.34,1028,,,67,2.1,50,,,,,,0,800,Clear,sky is clear,01d
1357016400,2013-01-01 05:00:00 +0000 UTC,12600,Alvand,36.19,50.06,-1.4,4000,-5.13,-4.21,-2.44,-0.32,1029,,,73,2.1,110,,,,,,0,721,Haze,haze,50d
1357020000,2013-01-01 06:00:00 +0000 UTC,12600,Alvand,36.19,50.06,0.04,3000,-3.57,-4.95,-0.51,0.23,1029,,,74,5.14,100,,,,,,0,721,Haze,haze,50d
1357023600,2013-01-01 07:00:00 +0000 UTC,12600,Alvand,36.19,50.06,0.96,3000,-3.61,-5.16,0.02,2.23,1028,,,69,8.23,130,,,,,,20,721,Haze,haze,50d
1357027200,2013-01-01 08:00:00 +0000 UTC,12600,Alvand,36.19,50.06,2.65,3500,-2.17,-3.31,1.63,3.63,1027,,,69,9.3,120,,,,,,75,721,Haze,haze,50d
1357030800,2013-01-01 09:00:00 +0000 UTC,12600,Alvand,36.19,50.06,3.55,4000,-3.08,-1.02,2.62,4.23,1025,,,60,6.17,120,,,,,,75,721,Haze,haze,50d
1357034400,2013-01-01 10:00:00 +0000 UTC,12600,Alvand,36.19,50.06,4.41,4000,-3.39,-0.32,3.76,5,1026,,,55,7.2,110,,,,,,75,721,Haze,haze,50d
1357038000,2013-01-01 11:00:00 +0000 UTC,12600,Alvand,36.19,50.06,4.67,5000,-4.78,0.39,3.79,5.23,1025,,,48,6.2,120,,,,,,0,721,Haze,haze,50d
1357041600,2013-01-01 12:00:00 +0000 UTC,12600,Alvand,36.19,50.06,4.03,5000,-4.37,0.05,3.31,4.43,1025,,,52,5.14,130,,,,,,75,721,Haze,haze,50d
1357045200,2013-01-01 13:00:00 +0000 UTC,12600,Alvand,36.19,50.06,3.91,5000,-2.98,1.12,2.78,5.01,1026,,,59,3.1,120,,,,,,0,721,Haze,haze,50d
1357048800,2013-01-01 14:00:00 +0000 UTC,12600,Alvand,36.19,50.06,1.31,4000,-2.48,-2.01,0.87,1.61,1026,,,74,3.1,100,,,,,,0,721,Haze,haze,50n
1357052400,2013-01-01 15:00:00 +0000 UTC,12600,Alvand,36.19,50.06,1.05,5000,-2.39,-1.3,0.53,1.57,1026,,,76,2.06,110,,,,,,40,721,Haze,haze,50n
